Name,House,District,Geography,Party,Statewide RTC,Winter Eviction Moratorium,Defend RTC
Fred Thiele,Assembly,1,Long Island/Suffolk,Democrat,
Jodi Giglio,Assembly,2,Long Island/Suffolk,Republican,
Joe DeStefano,Assembly,3,Long Island/Suffolk,Republican,
Edward Flood,Assembly,4,Long Island/Suffolk,Republican,
Doug Smith,Assembly,5,Long Island/Suffolk,Republican,
Phil Ramos,Assembly,6,Long Island/Suffolk,Democrat,true
Jarrett Gandolfo,Assembly,7,Long Island/Suffolk,Republican,
Michael Fitzpatrick,Assembly,8,Long Island/Suffolk,Republican,
Michael Durso,Assembly,9,Long Island/Suffolk,Republican,
Steve Stern,Assembly,10,Long Island/Suffolk/Nassau,Democrat,
Kimberly Jean-Pierre,Assembly,11,Long Island/Nassau,Democrat,
Ari Brown,Assembly,12,Long Island/Suffolk,Republican,
Charles Lavine,Assembly,13,Long Island/Nassau,Democrat,
David McDonough,Assembly,14,Long Island/Nassau,Republican,true
Jake Blumencranz,Assembly,15,Long Island/Nassau,Republican,
Gina Sillitti,Assembly,16,Long Island/Nassau,Democrat,true
John Mikulin,Assembly,17,Long Island/Nassau,Republican,
Taylor Darling,Assembly,18,Long Island/Nassau,Democrat,
Edward Ra,Assembly,19,Long Island/Nassau,Republican,
Eric Brown,Assembly,20,Long Island/Nassau,Republican,
Brian Curran,Assembly,21,Long Island/Nassau,Republican,
Michelle Solages,Assembly,22,Long Island/Nassau,Democrat,true
Stacey Pheffer Amato,Assembly,23,Queens,Democrat,
David Weprin,Assembly,24,Queens,Democrat,true
Nilly Rozic,Assembly,25,Queens,Democrat,
Edward Braunstein,Assembly,25,Queens,Democrat,
Daniel Rosenthal,Assembly,27,Queens,Democrat,
Andrew Hevesi,Assembly,28,Queens,Democrat,true,true
Alicia Hyndman,Assembly,29,Queens,Democrat,true
Steven Raga,Assembly,30,Queens,Democrat,true,true
Khaleel Anderson,Assembly,31,Queens,Democrat,
Vivan Cook,Assembly,32,Queens,Democrat,
Clyde Vanel,Assembly,33,Queens,Democrat,
Jessica Gonzalez-Rojas,Assembly,34,Queens,Democrat,true
Jeffrion Aubry,Assembly,35,Queens,Democrat,true
Zohran Mamdani,Assembly,36,Queens,Democrat,true
Juan Ardila,Assembly,37,Queens,Democrat,true,true
Jenifer Rajkumar,Assembly,38,Queens,Democrat,
Catalina Cruz,Assembly,39,Queens,Democrat,true
Ron Kim,Assembly,40,Queens,Democrat,true
Helene Weinstein,Assembly,41,Brooklyn,Democrat,
Rodneyse Bichotte Hermelyn,Assembly,42,Brooklyn,Democrat,
Brian Cunningham,Assembly,43,Brooklyn,Democrat,true,true
Robert Carroll,Assembly,44,Brooklyn,Democrat,true,true
Michael Novakhov,Assembly,45,Brooklyn,Republican,true
Alec Brook-Krasny,Assembly,46,Brooklyn,Republican,
William Colton,Assembly,47,Brooklyn,Democrat,
Simcha Eichenstein,Assembly,48,Brooklyn,Democrat,
Lester Chang,Assembly,49,Brooklyn,Republican,
Emily Gallagher,Assembly,50,Brooklyn,Democrat,true
Marcela Mitaynes,Assembly,51,Brooklyn,Democrat,true,true
Jo Anne Simon,Assembly,52,Brooklyn,Democrat,true
Maritza Davila,Assembly,53,Brooklyn,Democrat,true
Erik Dilan,Assembly,54,Brooklyn,Democrat,
Latrice Walker,Assembly,55,Brooklyn,Democrat,true
Stefani Zinerman,Assembly,56,Brooklyn,Democrat,true
Phara Souffrant Forrest,Assembly,57,Brooklyn,Democrat,true,true
Monique Chandler-Waterman,Assembly,58,Brooklyn,Democrat,true
Jaime Williams,Assembly,59,Brooklyn,Democrat,
Nikki Lucas,Assembly,60,Brooklyn,Democrat,
Charles Fall,Assembly,61,Staten Island,Democrat,
Michael Reilly,Assembly,62,Staten Island,Republican,
Samuel Pirozzolo,Assembly,63,Staten Island,Republican,
Mike Tannousis,Assembly,64,Staten Island/Brooklyn,Republican,
Grace Lee,Assembly,65,Manhattan,Democrat,
Deborah Glick,Assembly,66,Manhattan,Democrat,true,true
Linda Rosenthal,Assembly,67,Manhattan,Democrat,true,,true
Eddie Gibbs,Assembly,68,Manhattan,Democrat,true
Daniel O'Donnell,Assembly,69,Manhattan,Democrat,true
Inez Dickens,Assembly,70,Manhattan,Democrat,
Al Taylor,Assembly,71,Manhattan,Democrat,true,,true
Manny De Los Santos,Assembly,72,Manhattan,Democrat,true
Alex Bores,Assembly,73,Manhattan,Democrat,true
Harvey Epstein,Assembly,74,Manhattan,Democrat,true
Tony Simone,Assembly,75,Manhattan,Democrat,true,,true
Rebecca Seawright,Assembly,76,Manhattan,Democrat,true
Latoya Joyner,Assembly,77,Bronx,Democrat,true
George Alvarez,Assembly,78,Bronx,Democrat,true
Chantel Jackson,Assembly,79,Bronx,Democrat,true
John Zaccaro Jr.,Assembly,80,Bronx,Democrat,true
Jeffrey Dinowitz,Assembly,81,Bronx,Democrat,true
Michael Benedetto,Assembly,82,Bronx,Democrat,true
Carl Heastie,Assembly,83,Bronx,Democrat,
Amanda Septimo,Assembly,84,Bronx,Democrat,true
Kenneth Burgos,Assembly,85,Bronx,Democrat,true
Yudelka Tapia,Assembly,86,Bronx,Democrat,true
Karines Reyes,Assembly,87,Bronx,Democrat,true
Amy Paulin,Assembly,88,Westchester,Democrat,true
J. Gary Pretlow,Assembly,89,Westchester,Democrat,
Nader Sayegh,Assembly,90,Westchester,Democrat,
Steven Otis,Assembly,91,Westchester,Democrat,true
Maryjane Shimsky,Assembly,92,Westchester,Democrat,true
Chris Burdick,Assembly,93,Westchester,Democrat,true
Matthew Slater,Assembly,94,Westchester/Putnam,Republican,
Dana Levenberg,Assembly,95,Westchester,Democrat,true
Kenneth Zebrowski,Assembly,96,Rockland,Democrat,
John McGowan,Assembly,97,Rockland,Republican,
Karl Brabenec,Assembly,98,Orange/Rockland,Republican,
Christopher Eachus,Assembly,99,Orange/Rockland,Democrat,true
Aileen Gunther,Assembly,100,Sullivan,Democrat,
Brian Maher,Assembly,101,Utica,Republican,
Chris Tague,Assembly,102,Albany,Republican,
Sarahana Shrestha,Assembly,103,Ulster,Democrat,true,true
Jonathan Jacobson,Assembly,104,Ulster/Orange/Dutchess,Democrat,true
Anil Beephan,Assembly,105,Dutchess,Republican,
Didi Barrett,Assembly,106,Dutchess/Columbia,Democrat,
Scott Bendett,Assembly,107,Rensselaer,Republican,
John McDonald,Assembly,108,Albany,Democrat,true
Patricia Fahy,Assembly,109,Albany,Democrat,true
Phil Steck,Assembly,110,Albany,Democrat,
Angelo Santabarbara,Assembly,111,Schenectady/Montgomery,Democrat,
Mary Beth Walsh,Assembly,112,Saratoga/Schenectady,Republican,
Carrie Woerner,Assembly,113,Saratoga/Washington,Democrat,
Matt Simpson,Assembly,114,Saratoga/Washington/Warren/Hamilton,Republican,
Billy Jones,Assembly,115,Clinton/Franklin/Essex,Democrat,
Scott Gray,Assembly,116,St. Lawrence/Jefferson,Republican,
Ken Blankenbush,Assembly,117,Oneida/Lewis/St. Lawrence,Republican,
Robert Smullen,Assembly,118,Oneida/Hamilton/Herkimer/Montgomery/Fulton,Republican,
Marianne Buttenschon,Assembly,119,Oneida,Democrat,
William Barclay,Assembly,120,Oswego/Cayuga/Jefferson,Republican,
Joe Angelino,Assembly,121,Madison/Delaware/Chenango/Broome,Republican,
Brian Miller,Assembly,122,Broome,Republican,
Donna Lupardo,Assembly,123,Broome,Democrat,
Christopher Friend,Assembly,124,Broome/Tioga/Chemung,Republican,
Anna Kelles,Assembly,125,Ithaca/Tompkins,Democrat,true,true
John Lemondes,Assembly,126,Cayuga/Onandaga,Republican,
Al Stirpe,Assembly,127,Onondaga/Madison,Democrat,true
Pamela Hunter,Assembly,128,Syracuse/Onandaga,Democrat,true
William Magnarelli,Assembly,129,Syracuse/Onandaga,Democrat,
Brian Manktelow,Assembly,130,Wayne,Republican,
Jeff Gallahan,Assembly,131,Seneca/Ontario/Cayuga/Cortland,Republican,
Phillip Palmesano,Assembly,132,Seneca/Yates/Schuyler/Chemung/Steuben,Republican,
Marjorie Byrnes,Assembly,133,Monroe/Ontario/Livingston/Steuben,Republican,
Josh Jensen,Assembly,134,Monroe,Republican,
Jen Lunsford,Assembly,135,Monroe,Democrat,
Sarah Clark,Assembly,136,Rochester/Monroe,Democrat,true
Demond Meeks,Assembly,137,Rochester/Monroe,Democrat,true
Harry Bronson,Assembly,138,Rochester/Monroe,Democrat,true
Stephen Hawley,Assembly,139,Orleans/Monroe/Genesee,Republican,
William Conrad,Assembly,140,Buffalo/Erie/Niagara,Democrat,
Crystan Peoples-Stokes,Assembly,141,Buffalo/Erie,Democrat,
Pat Burke,Assembly,142,Buffalo/Erie,Democrat,
Monica Wallace,Assembly,143,Buffalo/Erie,Democrat,
Michael Norris,Assembly,144,Erie/Niagra,Republican,
Angelo Morinello,Assembly,145,Erie/Niagra,Republican,
Karen McMahon,Assembly,146,Amherst/Erie,Democrat,
David DiPietro,Assembly,147,Erie/Wyoming,Republican,
Joseph Giglio,Assembly,148,Allegeny/Cattaraugus/Steuben,Republican,
Jonathan Rivera,Assembly,149,Buffalo/Erie,Democrat,
Andrew Goodell,Assembly,150,Chautauqua/Erie,Republican,
Anthony Palumbo,Senate,1,Long Island/Suffolk,Republican,
Mario Mattera,Senate,2,Long Island/Suffolk,Republican,
Dean Murray,Senate,3,Long Island/Suffolk,Republican,
Monica Martinez,Senate,4,Long Island/Suffolk,Democrat,
Steven Rhoads,Senate,5,Long Island/Nassau,Republican,
Kevin Thomas,Senate,6,Long Island/Nassau,Democrat,true
Jack Martins,Senate,7,Long Island/Nassau,Republican,
Alexis Weinstein,Senate,8,Long Island/Suffolk/Nassau,Republican,
Patricia Canzoneri-Fitzpatrick,Senate,9,Long Island/Nassau,Republican,
James Sanders,Senate,10,Queens,Democrat,true
Toby Ann Stavisky,Senate,11,Queens/Bronx,Democrat,
Michael Gianaris,Senate,12,Queens,Democrat,true
Jessica Ramos,Senate,13,Queens,Democrat,true,true
Leroy Comrie,Senate,14,Queens,Democrat,
Joseph Addabbo,Senate,15,Queens,Democrat,
John Liu,Senate,16,Queens,Democrat,true
Iwen Chu,Senate,17,Brooklyn,Democrat,
Julia Salazar,Senate,18,Brooklyn/Queens,Democrat,true
Roxanne Persaud,Senate,19,Brooklyn/Queens,Democrat,
Zellnor Myrie,Senate,20,Brooklyn,Democrat,true,true
Kevin Parker,Senate,21,Brooklyn,Democrat,
Simcha Felder,Senate,22,Brooklyn,Democrat,
Jessica Scarcella-Spanton,Senate,23,Brooklyn,Democrat,
Andrew Lanza,Senate,24,Staten Island,Republican,
Jabari Brisport,Senate,25,Brooklyn,Democrat,true
Andrew Gounardes,Senate,26,Brooklyn,Democrat,true
Brett Kavanagh,Senate,27,Manhattan,Democrat,
Liz Krueger,Senate,28,Manhattan,Democrat,,,true
Jose Serrano,Senate,29,Bronx/Manhattan,Democrat,true
Cordell Cleare,Senate,30,Manhattan,Democrat,true
Robert Jackson,Senate,31,Bronx/Manhattan,Democrat,true
Luis Sepulveda,Senate,32,Bronx,Democrat,true
Gustavo Rivera,Senate,33,Bronx,Democrat,true,true
Nathalia Fernandez,Senate,34,Bronx/Westchester,Democrat,
Andrea Stewart-Cousins,Senate,35,Westchester,Democrat,
Jamaal Bailey,Senate,36,Bronx/Westchester,Democrat,true
Shelley Mayer,Senate,37,Westchester,Democrat,true
William Weber,Senate,38,Rockland,Republican,
Robert Rolison,Senate,39,Orange/Duchess/Putnam,Republican,
Pete Harckham,Senate,40,Westchester/Putnam/Rockland,Democrat,true
Michelle Hinchey,Senate,41,Greene/Columbia/Ulster/Dutchess,Democrat,true
James Skoufis,Senate,42,Orange,Democrat,true
Jacob Ashby,Senate,43,Rensselaer/Washington,Republican,
James Tedisco,Senate,44,Saratoga/Schenectady,Republican,
Daniel Stec,Senate,45,St. Lawrence/Franklin/Clinton/Essex/Warren/Washington,Republican,
Neil Breslin,Senate,46,Albany/Schenectedy/Montgomery,Democrat,true,true
Brad Hoylman,Senate,47,Manhattan,Democrat,true,,true
Rachel May,Senate,48,Syracuse/Onondaga/Cayuga,Democrat,true
Mark Walczyk,Senate,49,St. Lawrence/Jefferson/Oswego/Herkimer/Hamilton/Fulton,Republican,
John Mannion,Senate,50,Oswego/Onondaga,Democrat,true
Peter Oberacker,Senate,51,Otsego/Schoharie/Delaware/Chenango/Broome/Sullivan/Ulster,Republican,
Lea Webb,Senate,52,Ithaca/Tompkins/Cortland/Binghamton/Broome,Democrat,true
Joseph Griffo,Senate,53,Oneida/Madison/Chenango,Republican,
Pamela Helming,Senate,54,Monroe/Livingston/Ontario/Wayne,Republican,
Samra Brouk,Senate,55,Rochester/Monroe,Democrat,true
Jeremy Cooney,Senate,56,Rochester/Monroe,Democrat,true
George Borrello,Senate,57,Chautauqua/Cattaraugus/Allegeny/Wyoming/Genesee,Republican,
Thomas O'Mara,Senate,58,Allegeny/Steuben/Yates/Seneca/Schuyler/Chemung/Tioga,Republican,
Kristen Gonzalez,Senate,59,Queens/Brooklyn/Manhattan,Democrat,true
Patrick Gallivan,Senate,60,Erie,Republican,
Sean Ryan,Senate,61,Buffalo/Erie,Democrat,
Robert Ortt,Senate,62,Niagara/Orleans/Monroe,Republican,
Timothy Kennedy,Senate,63,Buffalo/Erie,Democrat,true